Cliente,Perfil,Tipo,Email,ID Cartão Sócio,Localizador,clubeFavorito,Ultima Compra,Gênero,Faixa Etária,Familia,Ticket Médio
Rhett Whitmeyer,00e410000016Nx8AAE,PF,rhett.whitmeyer@bol.com.br,SAMS-38917,LOC-SAMS36358,Bom Retiro,mai,F,acima de 50 anos,Matinais,532
Toby Oge,00e410000016NxGAAU,PF,toby.oge@bol.com.br,SAMS-45592,LOC-SAMS60257,Niterói,mai,F,acima de 50 anos,Matinais,568
Ahmad Tilson,00e410000016NwWAAU,PF,ahmad.tilson@oi.com.br,SAMS-62251,LOC-SAMS63595,Bom Retiro,ago,F,acima de 50 anos,Matinais,487
Alayna Hippler,00e410000016NxGAAU,PF,alayna.hippler@yahoo.com.br,SAMS-22668,LOC-SAMS16964,Vitória,mar,F,de 40 até 50 anos,Papelaria,602
Rosendo Rajan,00e410000016NwWAAU,PF,rosendo.rajan@hotmail.com,SAMS-35855,LOC-SAMS22207,Linha Amarela,fev,M,de 40 até 50 anos,Papelaria,501
Lala Ellias,00e410000016NwWAAU,PJ,lala.ellias@folha.com.br,SAMS-23646,LOC-SAMS15796,Tamboré,nov,F,Abaixo de 30 anos,Descartáveis,770
Naida Arnt,00e410000016NwWAAU,PF,naida.arnt@uol.com.br,SAMS-30841,LOC-SAMS6037,São José dos Campos,abr,M,acima de 50 anos,Matinais,523
Austin Lirag,00e410000016Nx8AAE,PF,austin.lirag@pop.com.br,SAMS-11004,LOC-SAMS48273,São Caetano do Sul,set,M,de 40 até 50 anos,Molhos e Temperos,444
Sabrina Songco,00e410000016NxGAAU,PJ,sabrina.songco@pop.com.br,SAMS-22739,LOC-SAMS61021,Brasília,set,M,Abaixo de 30 anos,Limpeza,600
Tonie Vannatter,00e410000016NxGAAU,PJ,tonie.vannatter@oi.com.br,SAMS-12080,LOC-SAMS13537,Bom Retiro,ago,F,Abaixo de 30 anos,Limpeza,567
Cleopatra Jacquot,00e410000016Nx8AAE,PF,cleopatra.jacquot@r7.com,SAMS-23600,LOC-SAMS47599,Guarulhos,out,F,acima de 50 anos,Matinais,401
Humberto Cubillo,00e410000016NxGAAU,PJ,humberto.cubillo@hotmail.com,SAMS-33686,LOC-SAMS46730,São Bernardo do Campo,fev,M,Abaixo de 30 anos,Descartáveis,641
Emanuel Fassler,00e410000016NwWAAU,PJ,emanuel.fassler@bol.com.br,SAMS-9690,LOC-SAMS12227,Radial Leste,mai,M,Abaixo de 30 anos,Limpeza,676
Phyllis Kapsner,00e410000016Nx8AAE,PJ,phyllis.kapsner@folha.com.br,SAMS-43449,LOC-SAMS8181,Contagem,nov,F,Abaixo de 30 anos,Descartáveis,762
Thao Sarni,00e410000016NwjAAE,PJ,thao.sarni@r7.com,SAMS-33988,LOC-SAMS34462,Águas Claras,out,F,de 30 até 40 anos,Conservas,629
Darnell Lisy,00e410000016NwjAAE,PF,darnell.lisy@r7.com,SAMS-48370,LOC-SAMS21241,Guarulhos,out,M,acima de 50 anos,Infantil,493
Ned Castillanos,00e410000016Nx8AAE,PJ,ned.castillanos@yahoo.com.br,SAMS-55189,LOC-SAMS16650,Santo Amaro,mar,F,Abaixo de 30 anos,Limpeza,574
Clara Santistevan,00e410000016NwWAAU,PF,clara.santistevan@folha.com.br,SAMS-21529,LOC-SAMS47667,Salvador,nov,F,de 40 até 50 anos,Papelaria,486
Dusti Marcelli,00e410000016Nx8AAE,PF,dusti.marcelli@pop.com.br,SAMS-27755,LOC-SAMS38542,Maceió,set,M,de 40 até 50 anos,Papelaria,620
Branda Lebrun,00e410000016NwjAAE,PF,branda.lebrun@bol.com.br,SAMS-14205,LOC-SAMS35857,Radial Leste,mai,F,de 40 até 50 anos,Molhos e Temperos,552
Breanne Twitty,00e410000016NxGAAU,PF,breanne.twitty@zipmail.com.br,SAMS-2381,LOC-SAMS23495,Brasília,dez,M,de 40 até 50 anos,Molhos e Temperos,715
Franklyn Bosheers,00e410000016NxGAAU,PF,franklyn.bosheers@bol.com.br,SAMS-51553,LOC-SAMS22746,Niterói,mai,M,acima de 50 anos,Matinais,524
Margret Holihan,00e410000016NxGAAU,PJ,margret.holihan@yahoo.com.br,SAMS-47581,LOC-SAMS47594,Curitiba - Atuba,mar,F,Abaixo de 30 anos,Limpeza,706
Claudette Maione,00e410000016NwWAAU,PF,claudette.maione@zipmail.com.br,SAMS-26580,LOC-SAMS19649,São Caetano do Sul,dez,F,de 40 até 50 anos,Molhos e Temperos,655
Oneida Pirre,00e410000016Nx8AAE,PJ,oneida.pirre@gmail.com,SAMS-4812,LOC-SAMS45991,Guarulhos,jan,F,Abaixo de 30 anos,Descartáveis,500
Cherryl Bullivant,00e410000016NxGAAU,PJ,cherryl.bullivant@zipmail.com.br,SAMS-2708,LOC-SAMS20897,São Caetano do Sul,dez,M,Abaixo de 30 anos,Descartáveis,727
Rafael Lanzarin,00e410000016Nx8AAE,PF,rafael.lanzarin@globomail.com,SAMS-61580,LOC-SAMS20516,Guarulhos,jul,M,de 40 até 50 anos,Papelaria,514
Roselyn Armel,00e410000016NwWAAU,PF,roselyn.armel@gmail.com,SAMS-60718,LOC-SAMS41728,São José dos Campos,jan,M,acima de 50 anos,Infantil,436
Maryellen Zientek,00e410000016NxGAAU,PF,maryellen.zientek@folha.com.br,SAMS-37770,LOC-SAMS40658,Bom Retiro,nov,F,de 40 até 50 anos,Molhos e Temperos,438
Antonietta Mems,00e410000016Nx8AAE,PJ,antonietta.mems@hotmail.com,SAMS-27405,LOC-SAMS57514,Niterói,fev,M,de 30 até 40 anos,Conservas,497
Yadira Hurm,00e410000016NwWAAU,PJ,yadira.hurm@hotmail.com,SAMS-61700,LOC-SAMS62607,Radial Leste,fev,M,de 30 até 40 anos,Higiene,705
Luigi Makris,00e410000016Nx8AAE,PJ,luigi.makris@hotmail.com,SAMS-58261,LOC-SAMS64191,Salvador,fev,M,de 30 até 40 anos,Conservas,741
Hosea Raskey,00e410000016NxGAAU,PF,hosea.raskey@folha.com.br,SAMS-6064,LOC-SAMS14774,Niterói,nov,M,de 40 até 50 anos,Papelaria,434
Danette Radziewicz,00e410000016Nx8AAE,PF,danette.radziewicz@globomail.com,SAMS-4774,LOC-SAMS10136,São José dos Campos,jul,F,acima de 50 anos,Matinais,750
Darleen Dambrozio,00e410000016NxGAAU,PF,darleen.dambrozio@oi.com.br,SAMS-9861,LOC-SAMS6589,Linha Amarela,ago,F,de 40 até 50 anos,Papelaria,519
Han Takach,00e410000016NwjAAE,PJ,han.takach@globomail.com,SAMS-27513,LOC-SAMS46669,Campinas,jul,F,Abaixo de 30 anos,Descartáveis,682
Isobel Autery,00e410000016NwWAAU,PJ,isobel.autery@zipmail.com.br,SAMS-47598,LOC-SAMS31221,Curitiba - Atuba,dez,F,Abaixo de 30 anos,Limpeza,695
Odell Strowe,00e410000016NwjAAE,PF,odell.strowe@folha.com.br,SAMS-4389,LOC-SAMS30381,Radial Leste,nov,F,acima de 50 anos,Infantil,662
Taryn Fridal,00e410000016NxGAAU,PF,taryn.fridal@uol.com.br,SAMS-55213,LOC-SAMS27097,Ribeirão Preto,abr,M,acima de 50 anos,Matinais,555
Kaci Marrapodi,00e410000016NwjAAE,PJ,kaci.marrapodi@bol.com.br,SAMS-14746,LOC-SAMS57891,São Bernardo do Campo,mai,F,de 30 até 40 anos,Higiene,552
Wyatt Breda,00e410000016NwWAAU,PJ,wyatt.breda@yahoo.com.br,SAMS-10188,LOC-SAMS33352,Recife,mar,M,Abaixo de 30 anos,Descartáveis,586
Hyon Wengert,00e410000016Nx8AAE,PF,hyon.wengert@pop.com.br,SAMS-21135,LOC-SAMS27644,Osasco,set,M,de 40 até 50 anos,Molhos e Temperos,480
Laveta Schiappa,00e410000016NwWAAU,PJ,laveta.schiappa@hotmail.com,SAMS-40103,LOC-SAMS57990,Radial Leste,fev,M,de 30 até 40 anos,Higiene,553
Brandi Stenman,00e410000016NwjAAE,PF,brandi.stenman@globomail.com,SAMS-28706,LOC-SAMS12073,Campinas,jul,M,de 40 até 50 anos,Papelaria,546
Cecily Fleishman,00e410000016NwjAAE,PF,cecily.fleishman@bol.com.br,SAMS-9377,LOC-SAMS35665,Tamboré,mai,M,de 40 até 50 anos,Molhos e Temperos,736
Eartha Snead,00e410000016NwjAAE,PF,eartha.snead@yahoo.com.br,SAMS-60216,LOC-SAMS5051,Goiânia,mar,F,de 40 até 50 anos,Papelaria,634
Bettie Wesly,00e410000016Nx8AAE,PF,bettie.wesly@uol.com.br,SAMS-32224,LOC-SAMS42656,Santo André,abr,F,de 40 até 50 anos,Papelaria,595
Derek Reinbold,00e410000016NxGAAU,PJ,derek.reinbold@pop.com.br,SAMS-793,LOC-SAMS53153,Santo Amaro,set,M,Abaixo de 30 anos,Limpeza,704
Charlie Billeck,00e410000016NwjAAE,PF,charlie.billeck@gmail.com,SAMS-37408,LOC-SAMS56184,Natal,jan,F,de 40 até 50 anos,Papelaria,792
Neville Magnusson,00e410000016NxGAAU,PF,neville.magnusson@hotmail.com,SAMS-11865,LOC-SAMS38924,Bom Retiro,fev,M,acima de 50 anos,Matinais,501
Lindsay Salano,00e410000016NwWAAU,PJ,lindsay.salano@yahoo.com.br,SAMS-13038,LOC-SAMS26800,São Caetano do Sul,mar,F,de 30 até 40 anos,Conservas,738
Guillermo Wildrick,00e410000016NwWAAU,PF,guillermo.wildrick@zipmail.com.br,SAMS-71,LOC-SAMS18454,Vitória,dez,F,de 40 até 50 anos,Papelaria,487
Bryanna Pekrul,00e410000016NwWAAU,PJ,bryanna.pekrul@pop.com.br,SAMS-41961,LOC-SAMS37396,Osasco,set,M,de 30 até 40 anos,Conservas,680
Connie Turbiner,00e410000016Nx8AAE,PF,connie.turbiner@ig.com.br,SAMS-20812,LOC-SAMS13716,Goiânia,jun,M,acima de 50 anos,Infantil,541
Leonora Sukhu,00e410000016NxGAAU,PJ,leonora.sukhu@oi.com.br,SAMS-57865,LOC-SAMS7363,Linha Amarela,ago,F,de 30 até 40 anos,Higiene,583
Filiberto Nowick,00e410000016NwjAAE,PJ,filiberto.nowick@bol.com.br,SAMS-15371,LOC-SAMS48800,São Bernardo do Campo,mai,F,Abaixo de 30 anos,Limpeza,488
Alissa Hibble,00e410000016Nx8AAE,PF,alissa.hibble@globomail.com,SAMS-46664,LOC-SAMS63517,Porto Alegre,jul,F,acima de 50 anos,Infantil,610
Hannah Bergsman,00e410000016Nx8AAE,PF,hannah.bergsman@zipmail.com.br,SAMS-384,LOC-SAMS38233,Goiânia,dez,M,de 40 até 50 anos,Papelaria,423
Callie Widrig,00e410000016Nx8AAE,PJ,callie.widrig@globomail.com,SAMS-7403,LOC-SAMS53404,Águas Claras,jul,F,Abaixo de 30 anos,Descartáveis,690
Lillian Luss,00e410000016Nx8AAE,PF,lillian.luss@hotmail.com,SAMS-8807,LOC-SAMS20542,Linha Amarela,fev,M,acima de 50 anos,Infantil,629
Ling Woodford,00e410000016NxGAAU,PJ,ling.woodford@yahoo.com.br,SAMS-50892,LOC-SAMS39686,Santo Amaro,mar,M,Abaixo de 30 anos,Limpeza,530
Valeri Dusik,00e410000016NwWAAU,PJ,valeri.dusik@uol.com.br,SAMS-51834,LOC-SAMS56215,Curitiba - Barigui,abr,M,Abaixo de 30 anos,Limpeza,627
