Cliente,Email,ID Cartão Sócio,Localizador,clubeFavorito,Data da Compra,produto
Rosita Stimmel,rosita.stimmel@folha.com.br,SAMS-36451,LOC-SAMS16489,Tamboré,15/5/2015,Papel Toalha Kitchen Jumbo
Rosita Stimmel,rosita.stimmel@folha.com.br,SAMS-36451,LOC-SAMS16489,Tamboré,15/5/2015,Sucrilhos Power Chocolate Kellogg�s
Olene Arenivar,olene.arenivar@oi.com.br,SAMS-40598,LOC-SAMS58955,Contagem,16/12/2015,Tira Manchas Member's Mark 2,5 Kg
Olene Arenivar,olene.arenivar@oi.com.br,SAMS-40598,LOC-SAMS58955,Contagem,16/12/2015,Sabonete Líquido Jurassic 750 ml
Monika Sturgeon,monika.sturgeon@ig.com.br,SAMS-34928,LOC-SAMS50814,Maceió,11/4/2015,Azeitonas Verdes sem Caroço Raiola 420 g
Monika Sturgeon,monika.sturgeon@ig.com.br,SAMS-34928,LOC-SAMS50814,Maceió,11/4/2015,Tratamento Aussie Moist 3 Minutos
Monika Sturgeon,monika.sturgeon@ig.com.br,SAMS-34928,LOC-SAMS50814,Maceió,11/4/2015,Lava Roupas em Pó Member's Mark 5 Kg
Monika Sturgeon,monika.sturgeon@ig.com.br,SAMS-34928,LOC-SAMS50814,Maceió,11/4/2015,Sacos para Lixo 15 L ou 30 L Member's Mark
Aida Songco,aida.songco@pop.com.br,SAMS-56890,LOC-SAMS18720,Osasco,16/8/2015,Shampoo ou Condicionador TRESemmé 1 L
Aida Songco,aida.songco@pop.com.br,SAMS-56890,LOC-SAMS18720,Osasco,16/8/2015,Mostarda Heinz
Aida Songco,aida.songco@pop.com.br,SAMS-56890,LOC-SAMS18720,Osasco,16/8/2015,Absorvente com Abas Maxi Proteção Always
Genevie Shapley,genevie.shapley@uol.com.br,SAMS-36817,LOC-SAMS40314,Águas Claras,25/7/2015,Ração Carne e Vegetais Herói 18 Kg
Genevie Shapley,genevie.shapley@uol.com.br,SAMS-36817,LOC-SAMS40314,Águas Claras,25/7/2015,Shampoo ou Condicionador Aussie Miracle 7 em 1 778 ml
Genevie Shapley,genevie.shapley@uol.com.br,SAMS-36817,LOC-SAMS40314,Águas Claras,25/7/2015,Absorvente com Abas Maxi Proteção Always
Genevie Shapley,genevie.shapley@uol.com.br,SAMS-36817,LOC-SAMS40314,Águas Claras,25/7/2015,Rolo Adesivo Scotch-Brite
Genevie Shapley,genevie.shapley@uol.com.br,SAMS-36817,LOC-SAMS40314,Águas Claras,25/7/2015,Kit Fisher-Price
Genevie Shapley,genevie.shapley@uol.com.br,SAMS-36817,LOC-SAMS40314,Águas Claras,25/7/2015,Composto Lácteo Crescimento 1+ Ninho 800 g
Genevie Shapley,genevie.shapley@uol.com.br,SAMS-36817,LOC-SAMS40314,Águas Claras,25/7/2015,Shampoo ou Condicionador Aussie Miracle 7 em 1 778 ml
Genevie Shapley,genevie.shapley@uol.com.br,SAMS-36817,LOC-SAMS40314,Águas Claras,25/7/2015,Azeitonas Verdes sem Caroço Raiola 420 g
Magan Politis,magan.politis@folha.com.br,SAMS-32283,LOC-SAMS58994,Radial Leste,20/12/2016,Papel Guardanapo Folha Dupla Mascot
Magan Politis,magan.politis@folha.com.br,SAMS-32283,LOC-SAMS58994,Radial Leste,20/12/2016,Sabão Líquido Roma Coco 2 L
Mario Hurd,mario.hurd@pop.com.br,SAMS-60999,LOC-SAMS61599,Recife,7/11/2015,Cereal Froot Loops Kellogg's
Mario Hurd,mario.hurd@pop.com.br,SAMS-60999,LOC-SAMS61599,Recife,7/11/2015,Papel Toalha Kitchen Jumbo
Mario Hurd,mario.hurd@pop.com.br,SAMS-60999,LOC-SAMS61599,Recife,7/11/2015,Absorvente com Abas Maxi Proteção Always
Mario Hurd,mario.hurd@pop.com.br,SAMS-60999,LOC-SAMS61599,Recife,7/11/2015,Chocolate Kit Kat
Mario Hurd,mario.hurd@pop.com.br,SAMS-60999,LOC-SAMS61599,Recife,7/11/2015,Sabonete Líquido Jurassic 750 ml
Manie Schaar,manie.schaar@gmail.com,SAMS-57388,LOC-SAMS44835,Porto Alegre,11/4/2014,Papel Higiênico Personal Decor
Manie Schaar,manie.schaar@gmail.com,SAMS-57388,LOC-SAMS44835,Porto Alegre,11/4/2014,Tratamento Aussie Shine + Strong
Noelia Yeats,noelia.yeats@bol.com.br,SAMS-51415,LOC-SAMS9436,Salvador,1/11/2014,Cápsulas Nescafé Dolce Gusto
Noelia Yeats,noelia.yeats@bol.com.br,SAMS-51415,LOC-SAMS9436,Salvador,1/11/2014,Mostarda Heinz
Noelia Yeats,noelia.yeats@bol.com.br,SAMS-51415,LOC-SAMS9436,Salvador,1/11/2014,Mostarda Heinz
